Is_New,row,key,location,reference,category,actor,isConditional,conformance,conformance_score,requirement,comment
,1,CONF-007,input/pagecontent/direct-query.md:35,direct-query.html#discovery-of-patient-fhir-ids,Direct Query,Data Source,FALSE,SHALL,1,- CDex Data Source servers **SHALL** support resolving logical identifiers for the Patient resource.,
,2,CONF-009,input/pagecontent/direct-query.md:153,direct-query.html#data-sourceresponder-requirements,Direct Query,Data Consumer,TRUE,SHALL,1,"When signatures are required, the Data Consumer **SHALL** use a [FHIR RESTful search] instead of [FHIR RESTful read]. There is no CDex support for signatures on a FHIR RESTful read because it fetches a single instance of a resource instead of a Bundle. If the Data Consumer attempts to fetch a resource with a read and a signature is required, the Data Source/Responder",
,3,CONF-010,input/pagecontent/direct-query.md:153,direct-query.html#data-sourceresponder-requirements,Direct Query,Data Source,TRUE,SHALL,1,"use a [FHIR RESTful search] instead of [FHIR RESTful read]. There is no CDex support for signatures on a FHIR RESTful read because it fetches a single instance of a resource instead of a Bundle. If the Data Consumer attempts to fetch a resource with a read and a signature is required, the Data Source/Responder **SHALL** return an HTTP `400 Bad Request` *and* an OperationOutcome describing the business rule error. The following HTTP response and OperationOutcome illustrate this",
,4,CONF-011,input/pagecontent/index.md:23,index.html#about-this-guide,IG Home,"Data Source,Data Consumer",FALSE,SHALL,1,The [Da Vinci] initiative supports this implementation guide. Da Vinci is a private effort to accelerate the adoption of Health Level Seven International Fast Healthcare Interoperability Resources (HL7® FHIR®) as the standard to support and integrate value-based care (VBC) data exchange across communities. This guide and implementers of it **SHALL** adhere to the [HL7 Da Vinci Guiding Principles] for exchanging patient health information.,
,5,CONF-012,input/pagecontent/requesting-attachments-code.md:208,requesting-attachments-code.html#date-of-service-for-the-claim,Attachments,Payer,TRUE,SHALL,1,"This `Task.input` element represents the service date or the service's starting date for the claim or prior authorization. If the attachment is for a claim, it **SHALL** be present and precise to the day. It is optional if the attachment is for a prior authorization.",
,6,CONF-014,input/pagecontent/security.md:3,security.html#da-vinci-hrex-security-and-privacy-requirements,Security and Privacy,"Data Source,Data Consumer",FALSE,SHALL,1,This implementation guide inherits all of the mandatory requirements and recommendations defined in the [HRex Security and Privacy] specification.   Implementers **SHALL** read and adhere to the guidance for the following topics:,
,7,CONF-015,input/pagecontent/security.md:20,security.html#general-considerations,Security and Privacy,"Data Source,Data Consumer",FALSE,SHALL,1,1. User scopes **SHALL** be used as defined in [SMART App Launch] to restrict access to the relevant patients for a given Data Consumer. Organizational user access scopes are typically pre-negotiated and documented via business agreements. Data Sources shall translate these agreements into the appropriate SMART App Launch scopes.,
,8,CONF-016,input/pagecontent/security.md:22,security.html#general-considerations,Security and Privacy,"Data Source,Data Consumer",FALSE,SHALL,1,1. Audit mechanisms **SHALL** be in place so that exchange mechanisms *with or without human intervention* can be subject to review/oversight.,
,9,CONF-018,input/pagecontent/security.md:28,security.html#purpose-of-use,Security and Privacy,"Data Source,Data Consumer",TRUE,SHALL,1,communicate the POU for the requested data for each Task using codes from the [CDex Purpose of Use Value Set] in the POU `Task.input` element. The Data Consumer and Data Source **SHALL** use it to communicate the POU for the requested data when trading partner agreements require the POU to be exchanged.</span><!-- new-content -->,
,10,CONF-022,input/pagecontent/sending-attachments.md:81,sending-attachments.html#large-payloads,Attachments,Payer,FALSE,SHALL,1,"1. Servers **SHALL** document in their Capability Statement's `CapabilityStatement,operation.documentation` element or payer-supplied documentation:",
,11,CONF-023,input/pagecontent/sending-attachments.md:85,sending-attachments.html#large-payloads,Attachments,Payer,TRUE,SHALL,1,"1. When the payload is too big, the Server **SHALL** use The HTTP `413 Content Too Large` client error response status code (alternate status messages ""Request Entity Too Large"" or ""Payload Too Large"").",
,12,CONF-024,input/pagecontent/sending-attachments.md:87,sending-attachments.html#large-payloads,Attachments,Payer,TRUE,SHALL,1,"1. Servers **SHALL** document instructions for the Client when the payload is  (or is anticipated to be) too big. (for example, send a URL + authorization information, offload to external storage, split multiple files into multiple operations)",
,13,CONF-025,input/pagecontent/sending-attachments.md:108,sending-attachments.html#the-payer-requirements,Attachments,Payer,TRUE,SHALL,1,"- If the signatures fail verification when processing the [`$submit-attachment`] operation, the Data Source/Responder **SHALL** return an HTTP `400 Bad Request` *and* an OperationOutcome declaring that the signature was invalid.",
,14,CONF-026,input/pagecontent/signatures.md:52,signatures.html#cdex-signatures,Signatures,Signer,TRUE,SHALL,1,"\* When using a FHIR Questionnaire to request data, the [DTR Standard Questionnaire] Profile is used to profile the Questionnaire. Both [CDex Task Attachment Request Profile] and the [DTR Standard Questionnaire] profile have the overlapping capability to indicate that a signature is required. Signers **SHALL** meet both the Task *and* Questionnaire signature expectations. The Task's signature input parameter represents the need for a verification signature for the QuestionnaireResponse. The [DTR Standard Questionnaire] profile supports many reasons for signatures, including verification signatures.",
,15,CONF-027,input/pagecontent/signatures.md:119,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,1.  **SHALL** use the [CDex Digital Signature Profile] with the [CDex Signature Bundle Profile] for digitally signed Bundles and with the [CDex SDC QuestionnaireResponse Profile] for digitally signed QuestionnaireResponse.  This Signature DataType profile enforces the various elements of digital signatures documented in this section.,
,16,CONF-028,input/pagecontent/signatures.md:121,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,1. Implementers **SHALL** follow the following FHIR R6 [JSON Signature rules](https://hl7.org/fhir/6.0.0-ballot3/datatypes.html#JSON),
,17,CONF-029,input/pagecontent/signatures.md:123,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,- The JWS mime type `application/jose` **SHALL** be indicated in the `Signature.sigFormat` element.,
,18,CONF-030,input/pagecontent/signatures.md:131,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,-  CDEX is pre-adopting the changes to FHIR R6 json canonicalization guidance and  **SHALL** use the IETF JSON Canonicalization Scheme (JCS) (see [RFC 8785]) to generate the canonical form of the resource.  JCS is a well-documented standardized canonicalization algorithm with multiple open-source implementations across several programming languages.,
,19,CONF-031,input/pagecontent/signatures.md:132,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,- This canonicalization method is identified by the URI `application/fhir+json;canonicalization=http://hl7.org/fhir/canonicalization/json#document` and **SHALL** be indicated in the `Signature.targetFormat` element.,
,20,CONF-033,input/pagecontent/signatures.md:140,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,- identifying This canonicalization method by the URI `application/fhir+json;canonicalization=http://hl7.org/fhir/canonicalization/json+xml#document` and **SHALL** indicate it in the `Signature.targetFormat` element.,
,21,CONF-034,input/pagecontent/signatures.md:143,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"- `Bundle.id`, and `Bundle.meta`  **SHALL** be removed before canonicalization. In other words, everything in a Bundle is signed *except* for these elements.",
,22,CONF-035,input/pagecontent/signatures.md:144,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"- For signatures representing the entire QuestionnaireResponse, `QuestionnaireResponse.id`, and `QuestionnaireResponse.meta` elements **SHALL** be removed before canonicalization. In other words, everything in a QuestionnaireResponse is signed *except* for these elements.",
,23,CONF-036,input/pagecontent/signatures.md:145,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"- For signatures representing an item in the QuestionnaireResponse, the `QuestionnaireResponse.item.id` **SHALL** be removed before canonicalization. In other words, everything in the `QuestionnaireResponse.item` is signed *except* for these elements.",
,24,CONF-037,input/pagecontent/signatures.md:148,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"- The signature **SHALL** include a `""srCms""` signer commitments"" header element for the Purpose(s) of the Signature (see [JAdES-B-T](https://www.etsi.org/deliver/etsi_ts/119100_119199/11918201/01.01.01_60/ts_11918201v010101p.pdf), page 17). The Purpose can be the action being attested to, or the role associated with the signature. The value shall come from ASTM E1762-95(2013).",
,25,CONF-038,input/pagecontent/signatures.md:149,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"-  The `""srCms""` header **SHALL** contain an `""id"": ""urn:oid:1.2.840.10065.1.12.1.5""` (Verification Signature)",
,26,CONF-039,input/pagecontent/signatures.md:150,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"-  The `Signature.type.code` elements **SHALL** contain the same values as the `""srCms""` header ids.",
,27,CONF-040,input/pagecontent/signatures.md:152,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"1. **SHALL** include an `""alg""` parameter for the JSON Web Algorithms (JWA) (see [RFC 7518]). `""alg"": ""RS256""` is preferred.",
,28,CONF-042,input/pagecontent/signatures.md:154,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"3. **SHALL** have `""x5c""` (X.509 certificate chain) equal to an array of one or more base64-encoded (not base64url-encoded) DER representations of the public certificate or certificate chain (see [RFC 7517]).",
,29,CONF-043,input/pagecontent/signatures.md:156,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"1. **SHALL** include a `""sigT""` header parameter with a timestamp of the signature.",
,30,CONF-044,input/pagecontent/signatures.md:157,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,"2. **SHALL** include a `""srCms""` signer commitments as defined above.",
,31,CONF-046,input/pagecontent/signatures.md:159,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,2. **SHALL** support JWS compact serialization format for single signatures,
,32,CONF-048,input/pagecontent/signatures.md:163,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,4. The certificate **SHALL** include a Subject Alternative Name (SAN) which,
,33,CONF-049,input/pagecontent/signatures.md:163,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHALL,1,include a Subject Alternative Name (SAN) which **SHALL** match the `Signature.who.identifier`,
,34,CONF-053,input/pagecontent/signatures.md:168,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Verifier,FALSE,SHALL,1,- One of the certificate Subject Alternative Name (SAN)) **SHALL** match `Signature.who.identifier` to verify the identity of the entity signing,
,35,CONF-054,input/pagecontent/signatures.md:169,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Verifier,FALSE,SHALL,1,"- The `""srCms""` Signer Commitments header ids **SHALL** match the `Signature.type.code` elements.",
,36,CONF-055,input/pagecontent/signatures.md:170,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Verifier,TRUE,SHALL,1,"- The `""sigT""` header timestamp  **SHALL** match `Signature.when`",
,37,CONF-057,input/pagecontent/task-based-approach.md:33,task-based-approach.html#the-task-resource,Task Based Approach,Data Consumer,TRUE,SHALL,1,"**For CDex Task-based transactions, the [CDex Task Data Request Profile] SHALL be used by the Data Consumer to solicit information from a system.** It represents *both* the data request and the returned data and provides information such as why it needs to be completed, who is to complete it, who is asking for it, when it is due, etc. The Task's status is updated as the task is fulfilled. For a detailed description of all the mandatory, [*must support*], and optional elements, as well as formal definitions and profile views, see the [CDex Task Data Request Profile] page.",
,38,CONF-058,input/pagecontent/task-based-approach.md:67,task-based-approach.html#task-reason,Task Based Approach,Data Consumer,TRUE,SHALL,1,"When known, `Task.reasonCode` or `Task.reasonReference` **SHALL** reference the object that directly leads to the task - a particular claim, for example.",
,39,CONF-059,input/pagecontent/task-based-approach.md:86,task-based-approach.html#task-state-machine,Task Based Approach,Data Source,FALSE,SHALL,1,"Figure 8 below illustrates a ""typical"" state machine for CDex Task. The Data Consumer creates the Task with a status of ""requested"". The Data Source updates the status of the Task as appropriate. The Data Source **SHALL** support *all* the statuses in the [HRex Task Status ValueSet]. The Data Source",
,40,CONF-064,input/pagecontent/task-based-approach.md:261,task-based-approach.html#subscription,Task Based Approach,Data Source,FALSE,SHALL,1,"Da Vinci CDex Data Sources who choose to support Subscription **SHALL** comply with the [Subscription R5 Backport Implementation Guide] and the Da Vinci Health Record Exchange (HRex) [Subscription requirements](https://build.fhir.org/ig/HL7/davinci-ehrx/task.html#subscription) for subscribing to Task updates. These implementation guides ""pre-adopt"" the FHIR R5 topic-based subscription approach in R4 implementations since most U.S. EHR vendors have agreed to support it.",
,41,CONF-065,input/pagecontent/task-based-approach.md:267,task-based-approach.html#hrex-task-subscription-topic,Task Based Approach,Data Source,FALSE,SHALL,1,- The Data Source **SHALL** support the HRex Task Subscription Topic and,
,42,CONF-067,input/pagecontent/task-based-approach.md:276,task-based-approach.html#discovery,Task Based Approach,Data Source,FALSE,SHALL,1,- The Data Source **SHALL** support discovery of the CDex Task Update Subscription Topic canonical URL,
,43,CONF-079,input/intro-notes/StructureDefinition-cdex-task-attachment-request-intro.md:28,StructureDefinition-cdex-task-attachment-request.html,Attachments,Payer,TRUE,SHALL,1,"- A ""ServiceDate"" `Task.input` element representing the date of service or starting date of the service for the claim or prior authorization. It **SHALL** be present if the attachment is for a claim.",
,44,CONF-080,input/intro-notes/StructureDefinition-cdex-task-data-request-intro.md:49,StructureDefinition-cdex-task-data-request.html,Task Based Approach,Data Source,TRUE,SHALL,1,"*The `Task.reasonReference` `DocumentReference.author` is a *Must Support* element with four target profile and three Coverage profiles. Servers **SHALL** support at least one of them, and when supporting a Coverage profile",
,45,CONF-081,input/intro-notes/StructureDefinition-cdex-task-data-request-intro.md:49,StructureDefinition-cdex-task-data-request.html,Task Based Approach,Data Source,TRUE,SHALL,1,"support at least one of them, and when supporting a Coverage profile, **SHALL** support the Coverage Profile based on the US Core version as follows:",
,46,CONF-082,input/intro-notes/StructureDefinition-cdex-task-data-request-intro.md:58,StructureDefinition-cdex-task-data-request.html,Task Based Approach,Data Consumer,FALSE,SHALL,1,Clients **SHALL** support all four profiles.,
,47,CONF-083,input/intro-notes/ValueSet-cdex-POU-intro.md:43,ValueSet-cdex-POU.html,Security and Privacy,"Data Source,Data Consumer",FALSE,SHALL,1,"do not define the detailed POU, and the implementer **SHALL** supply an additional, alternate code. The resource fragment below shows their use:",
,48,CONF-086,input/pagecontent/attachments-conformance.md:74 (include must-support.md:1),attachments-conformance.html,Attachments,"Data Source,Data Consumer",FALSE,SHALL,1,"The CDex Profile elements consist of Mandatory, Must Support, and Optional elements. Elements that are neither Mandatory or Must Support are Optional. Mandatory elements are elements with a minimum cardinality greater than 0. [Must Support] elements are marked with the *mustSupport* flag and **SHALL** be interpreted as follows:",
,49,CONF-087,input/pagecontent/task-based-conformance.md:50 (include must-support.md:1),task-based-conformance.html,Task Based Approach,"Data Source,Data Consumer",FALSE,SHALL,1,"The CDex Profile elements consist of Mandatory, Must Support, and Optional elements. Elements that are neither Mandatory or Must Support are Optional. Mandatory elements are elements with a minimum cardinality greater than 0. [Must Support] elements are marked with the *mustSupport* flag and **SHALL** be interpreted as follows:",
,50,CONF-088,input/pagecontent/attachments-conformance.md:74 (include must-support.md:10),attachments-conformance.html,Attachments,"Data Source,Data Consumer",TRUE,SHALL,1,element is *required* and the Task Source **SHALL** populating the data element with value unless:,
,51,CONF-089,input/pagecontent/task-based-conformance.md:50 (include must-support.md:10),task-based-conformance.html,Task Based Approach,"Data Source,Data Consumer",TRUE,SHALL,1,element is *required* and the Task Source **SHALL** populating the data element with value unless:,
,52,CONF-090,input/pagecontent/attachments-conformance.md:74 (include must-support.md:12),attachments-conformance.html,Attachments,"Data Source,Data Consumer",FALSE,SHALL,1,Source **SHALL** use that extension to communicate the reason for missing data.,
,53,CONF-091,input/pagecontent/task-based-conformance.md:50 (include must-support.md:12),task-based-conformance.html,Task Based Approach,"Data Source,Data Consumer",FALSE,SHALL,1,Source **SHALL** use that extension to communicate the reason for missing data.,
,54,CONF-092,input/pagecontent/attachments-conformance.md:74 (include must-support.md:13),attachments-conformance.html,Attachments,"Data Source,Data Consumer",TRUE,SHALL,1,"- If the minimum cardinality of an element is equal to 0, the Task Source **SHALL** be capable of populating the data element when sharing Task compliant with a CDex profile. Although the system needs to demonstrate it is capable of populating and sharing of the element, it is acceptable to omit the element if the system doesn't have values in a particular instance. A system that is incapable of ever sharing the",
,55,CONF-093,input/pagecontent/task-based-conformance.md:50 (include must-support.md:13),task-based-conformance.html,Task Based Approach,"Data Source,Data Consumer",TRUE,SHALL,1,"- If the minimum cardinality of an element is equal to 0, the Task Source **SHALL** be capable of populating the data element when sharing Task compliant with a CDex profile. Although the system needs to demonstrate it is capable of populating and sharing of the element, it is acceptable to omit the element if the system doesn't have values in a particular instance. A system that is incapable of ever sharing the",
,56,CONF-094,input/pagecontent/attachments-conformance.md:74 (include must-support.md:15),attachments-conformance.html,Attachments,"Data Source,Data Consumer",FALSE,SHALL,1,- The Task Consumer **SHALL** be capable of processing Task instances,
,57,CONF-095,input/pagecontent/task-based-conformance.md:50 (include must-support.md:15),task-based-conformance.html,Task Based Approach,"Data Source,Data Consumer",FALSE,SHALL,1,- The Task Consumer **SHALL** be capable of processing Task instances,
,58,CONF-098,input/pagecontent/requesting-attachments-code.md:13 (include task-based-sections-to-review.md:20),requesting-attachments-code.html#cdex-attachment-request-profile,Attachments,Payer,FALSE,SHALL,1,"**For CDex attachment requests transactions, the Payer SHALL use the [CDex Task Attachment Request Profile] to solicit information from a Provider.**",
,59,CONF-099,input/pagecontent/requesting-attachments-questionnaire.md:11 (include task-based-sections-to-review.md:20),requesting-attachments-questionnaire.html#cdex-attachment-request-profile,Attachments,Payer,FALSE,SHALL,1,"**For CDex attachment requests transactions, the Payer SHALL use the [CDex Task Attachment Request Profile] to solicit information from a Provider.**",
,60,CONF-005,input/pagecontent/background.md:49,background.html#where-does-cdex-fit-in-the-da-vinci-project,Background,"Data Source,Data Consumer",TRUE,SHALL-NOT,2,The use of CDex **SHALL NOT** be considered compliant with any use case specific IG where CDex is not explicitly required as part of the supported exchanges.,
,61,CONF-001,input/pagecontent/attachments-conformance.md:13,attachments-conformance.html#introduction,Attachments,"Data Source,Data Consumer",FALSE,SHOULD,3,"Systems may choose some or all of these capabilities and implement any combination of unsolicited or solicited attachments for prior authorization, claims, or both. Therefore, in contrast to the expectations in the CDex CapabilityStatements, they **SHOULD** define what they support in their local capability statement in one or more of the following ways:",
,62,CONF-002,input/pagecontent/attachments-conformance.md:88,attachments-conformance.html#submit-attachment-parameters-for-sending-attachments,Attachments,"Data Source,Data Consumer",TRUE,SHOULD,3,|Attachment.Code||{{OK}}(It SHOULD be present when submitting unsolicited attachments)|,
,63,CONF-003,input/pagecontent/attachments-conformance.md:89,attachments-conformance.html#submit-attachment-parameters-for-sending-attachments,Attachments,Payer,TRUE,SHOULD,3,"|Attachment.Content|{{OK}}(DocumentReference, QuestionnaireResponse if support Requesting Attachments Using Questionnaire|{{OK}}(Servers SHOULD support other FHIR types)|",
,64,CONF-006,input/pagecontent/direct-query.md:28,direct-query.html#discovery-of-patient-fhir-ids,Direct Query,Data Source,FALSE,SHOULD,3,- CDex Data Source servers **SHOULD** support the patient match operation and declare it in their CapabilityStatement.,
,65,CONF-008,input/pagecontent/direct-query.md:117,direct-query.html#provenance,Direct Query,Data Source,TRUE,SHOULD,3,"To the extent that the Data Source keeps a record of the provenance of the data, the FHIR Provenance Resource can be requested as documented on US Core's [Basic Provenance] page. When returning provenance, they **SHOULD** use the [HRex Provenance Profile]. The following example illustrates this transaction.",
,66,CONF-021,input/pagecontent/sending-attachments.md:28,sending-attachments.html#technical-workflow,Attachments,Payer,TRUE,SHOULD,3,- The Payer **SHOULD** return an informational OperationOutcome with the HTTP accept response if the attachments can not be associated with a *current* claim or prior authorization and are being held for association with a *future* claim or prior authorization. An OperationOutcome example is used in Scenario 1b below.,
,67,CONF-045,input/pagecontent/signatures.md:158,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHOULD,3,1.  **SHOULD** use the hashing algorithm SHA256. The signature validation policy will apply to the signature and determine the acceptability,
,68,CONF-047,input/pagecontent/signatures.md:161,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHOULD,3,"3. **SHOULD** support [JWS JSON Serialization] format to represent multiple signatures with identical parameter values except `""x5c""`.",
,69,CONF-050,input/pagecontent/signatures.md:165,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHOULD,3,- The certificate Issuer **SHOULD** be a trusted CA for the Consumer,
,70,CONF-051,input/pagecontent/signatures.md:166,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHOULD,3,- The certificate KeyUsage **SHOULD** include 'DigitalSignature',
,71,CONF-052,input/pagecontent/signatures.md:167,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,SHOULD,3,- The certificate Validity Dates **SHOULD** be appropriate/long enough as determined by the business partners,
,72,CONF-056,input/pagecontent/solicited-unsolicited-attachments.md:4,solicited-unsolicited-attachments.html,Attachments,"Data Source,Data Consumer",FALSE,SHOULD,3,"The Da Vinci Burden Reduction Implementation Guides (IGs), [Da Vinci Coverage Requirements Discovery (CRD)], [Da Vinci Documentation Templates and Rules (DTR)], and [Da Vinci Prior Authorization Support (PAS)], support an integrated workflow to enable automated submission of required documentation and prior authorization from EHR and payer systems respectively. Although the PAS guide leverages CDex, implementers **SHOULD** follow the Burden Reduction IGs to request additional information for prior authorization. See [Using CDex Attachments with DaVinci PAS] page for more details.",
,73,CONF-062,input/pagecontent/task-based-approach.md:249,task-based-approach.html#polling,Task Based Approach,Data Consumer,FALSE,SHOULD,3,Data consumers can poll for a single Task or across several Tasks. The polling frequency balances responsiveness (short interval between data creation and consumer notification) against not over-taxing the Data Source's resources. Data Consumers **SHOULD** perform this operation in an automated/background manner after 1 minute to return automated responses and no more than every 5 minutes for the first 30 minutes and no more frequently than once every hour after that.,
,74,CONF-068,input/pagecontent/task-based-approach.md:277,task-based-approach.html#discovery,Task Based Approach,Data Source,FALSE,SHOULD,3,- The Data Source **SHOULD** support discovery using the CapabilityStatement SubscriptionTopic Canonical extension and,
,75,CONF-078,input/pagecontent/task-based-conformance.md:8,task-based-conformance.html#introduction,Task Based Approach,"Data Source,Data Consumer",FALSE,SHOULD,3,"CDex Task-based transactions have many optional capabilities. Systems may choose some or all of these capabilities and implement any combination. Refer to the CDex [CapabilityStatements] resources for conformance expectations for the various actors and roles. In contrast to the expectations in the CDex CapabilityStatements, Systems **SHOULD** define what they support in their local capability statement in one or more of the following ways:",
,76,CONF-084,input/pagecontent/sending-attachments.md:112 (include data-source-sig-rules.md:6),sending-attachments.html,Attachments,Data Source,TRUE,SHOULD,3,"- if multiple documents need to be signed, systems **SHOULD** minimize the number of interactions required by the user",
,77,CONF-085,input/pagecontent/task-based-approach.md:388 (include data-source-sig-rules.md:6),task-based-approach.html,Task Based Approach,Data Source,TRUE,SHOULD,3,"- if multiple documents need to be signed, systems **SHOULD** minimize the number of interactions required by the user",
,78,CONF-004,input/pagecontent/background.md:46,background.html#where-does-cdex-fit-in-the-da-vinci-project,Background,"Data Source,Data Consumer",TRUE,SHOULD-NOT,4,"- An alternative is needed to cover some aspects of an exchange. For example, suppose the provider's data release process does not allow the automatic request for information specified in a use case specific IG. In that case, CDex provides an asynchronous process that allows manual review before releasing the information. However, implementers **SHOULD NOT** use this transaction when there is a requirement for real-time response to facilitate patient care.",
,79,CONF-096,input/pagecontent/attachments-conformance.md:74 (include must-support.md:20),attachments-conformance.html,Attachments,"Data Source,Data Consumer",TRUE,SHOULD-NOT,4,"data - and receivers **SHOULD NOT** reject instances that contain unexpected data elements if those elements are not [modifier elements]. However, Task Sources cannot rely on Task Consumers to store, process, or do anything other than ignore data that is not marked as *mustSupport*.",
,80,CONF-097,input/pagecontent/task-based-conformance.md:50 (include must-support.md:20),task-based-conformance.html,Task Based Approach,"Data Source,Data Consumer",TRUE,SHOULD-NOT,4,"data - and receivers **SHOULD NOT** reject instances that contain unexpected data elements if those elements are not [modifier elements]. However, Task Sources cannot rely on Task Consumers to store, process, or do anything other than ignore data that is not marked as *mustSupport*.",
,81,CONF-017,input/pagecontent/security.md:28,security.html#purpose-of-use,Security and Privacy,"Data Source,Data Consumer",TRUE,MAY,5,"<span class=""bg-success"" markdown=""1"">CDex Task-based queries enable Data Consumers to dynamically define POUs when requesting data. Data Consumer and Data Source **MAY** communicate the POU for the requested data for each Task using codes from the [CDex Purpose of Use Value Set] in the POU `Task.input` element. The Data Consumer and Data Source",
,82,CONF-032,input/pagecontent/signatures.md:136,signatures.html#digital-signature-rules-and-guidance-for-cdex-bundle-and-questionnaireresponse,Signatures,Signer,FALSE,MAY,5,Implementers that support both XML and JSON wire formats **MAY** support cross format signatures by:,
,83,CONF-060,input/pagecontent/task-based-approach.md:86,task-based-approach.html#task-state-machine,Task Based Approach,Data Source,FALSE,MAY,5,"support *all* the statuses in the [HRex Task Status ValueSet]. The Data Source **MAY** support additional transitions, including transitions from terminal states (e.g., back to ""in-progress"" from ""failed"" or ""completed""). The Data Source",
,84,CONF-061,input/pagecontent/task-based-approach.md:86,task-based-approach.html#task-state-machine,Task Based Approach,Data Source,FALSE,MAY,5,"support additional transitions, including transitions from terminal states (e.g., back to ""in-progress"" from ""failed"" or ""completed""). The Data Source **MAY** use [`Task.businessStatus`] to track intermediate business statuses for their specific implementation",
,85,CONF-066,input/pagecontent/task-based-approach.md:267,task-based-approach.html#hrex-task-subscription-topic,Task Based Approach,Data Source,FALSE,MAY,5,support the HRex Task Subscription Topic and **MAY** support other subscription topics,
,86,CONF-069,input/pagecontent/task-based-approach.md:277,task-based-approach.html#discovery,Task Based Approach,Data Source,FALSE,MAY,5,support discovery using the CapabilityStatement SubscriptionTopic Canonical extension and **MAY** support discovery by some other method,