Topic,Page,index
Attachments,[Solicited and Unsolicited Attachments],5.1
Attachments,[Sending Attachments],5.2
Attachments,[Requesting Attachments],5.3
Attachments,[Using CDex Attachments with DaVinci PAS],5.4
Attachments,[Submit Attachment Operation],10.5.1
Attachments,[CDex Task Attachment Request Profile],10.7.1
Attachments,[CDex Patient Demographics Profile],10.6.1
Attachments,[CDex Claim Use Value Set],10.10.1
Attachments,[CDex Temporary Code System],10.12.1
Attachments,[Prior-Auth AttachmentRequest Example],10.31.1
Attachments,[Claim AttachmentRequest Example],10.13.1
Attachments,[CDex Submit Attachment Parameters Resource Example],10.33.2
Attachments,[Background: Attachments Workflow](background.html#attachments-workflow),2.6.2